,speech_text,intent,sampled,speech_text_augmented
1250,put the radio on,play_radio,False,put the radio on
1245,can you please turn on npr where i am,play_radio,False,can you delight turn on npr where i am
1239,can you play acoustic music with no commercials,play_radio,False,can you drama acoustic music with no commercials
1254,play sam harris please,play_radio,False,drama sam Joel_Harris please
1253,find radio,play_radio,False,breakthrough radio
1230,play any country music station,play_radio,False,drama any country music station
1237,please play red fm,play_radio,False,delight play redness fm
1269,when is the next office meeting,calendar_query,False,when is the next office meeting
1265,tell me what's happening this week,calendar_query,False,tell me what's happening this hebdomad
1268,tell me what is on the schedule for july seventh,calendar_query,False,William_Tell me what is on the docket for july seventh
1277,am i on vacation this week,calendar_query,False,am i on holiday this week
1286,what is on the agenda for today,calendar_query,False,what is on the agenda for today
1264,please tell me the main points of my two hundred meeting from this afternoon,calendar_query,False,delight tell me the main points of my 2 hundred group_meeting from this good_afternoon
1260,show todays reminders,calendar_query,False,show today reminders
1263,what is my next reminder,calendar_query,False,what is my next reminder
1274,rahul marriage reminder,calendar_query,False,rahul marriage reminder
1280,do the knicks have a game at home tonight,calendar_query,False,do the knicks have a game at place tonight
1306,search for a train ticket to newcastle,transport_ticket,False,hunt for a railroad_train ticket to newcastle
1316,can i get a train ticket to,transport_ticket,False,can i get a train ticket to
1294,i need the times for the south bound train on allison rd,transport_ticket,False,i need the multiplication for the Confederacy bound railroad_train on allison rd
1313,bring me ticket of train to city leeds,transport_ticket,False,bring me tag of train to metropolis leeds
1305,book me a train ticket to new york city on the third i don't care what time,transport_ticket,False,book me a railroad_train tag to new york city on the third i don't attention what time
1308,can you please buy me a train ticket,transport_ticket,False,can you delight buy me a train ticket
1303,transportation ticket booking train,transport_ticket,False,transportation tag booking train
1314,book me a train ride covering five destinations to see in new york,transport_ticket,False,book me a railroad_train ride covering 5 destination to see in new House_of_York
1301,book me a train ticket in any train to bombay for tomorrow,transport_ticket,False,book me a train ticket in any train to Bombay for tomorrow
1300,train ticket please,transport_ticket,False,railroad_train ticket please
1320,make the wemo plug socket turned on,iot_wemo_on,False,make the wemo plug socket turned on
1326,times clapping sound times,iot_wemo_on,False,multiplication hand_clapping sound times
1324,enable my plug,iot_wemo_on,False,enable my stopper
1337,turn on the smart charger,iot_wemo_on,False,turn on the smart courser
1336,activate the wemo plug socket,iot_wemo_on,False,actuate the wemo plug socket
1347,i'd like you to turn turn on the tv,iot_wemo_on,False,i'd like you to crook crook on the tv
1348,turn on the rice cooker socket,iot_wemo_on,False,crook on the rice cooker socket
1342,turn on kitchen light,iot_wemo_on,False,turn on kitchen visible_light
1327,switch on smart plug,iot_wemo_on,False,electric_switch on smart plug
1338,turn on the light socket,iot_wemo_on,False,crook on the light socket
1361,open terry's email,email_sendemail,False,clear terry's email
1359,reply to the latest email,email_sendemail,False,reply to the latest email
1368,please email celine,email_sendemail,False,please email celine
1350,email my favourite contacts,email_sendemail,False,e-mail my favourite contacts
1370,email my mother,email_sendemail,False,email my female_parent
1353,you should reply to the mail,email_sendemail,False,you should reply to the mail
1354,open a reply message,email_sendemail,False,open a reply message
1357,reply to erins email by saying i will be on time,email_sendemail,False,reply to erins e-mail by saying i will be on time
1379,start email,email_sendemail,False,beginning email
1363,can you open the reply inbox,email_sendemail,False,can you open the reply inbox
1395,please archive my read messages,email_query,False,delight archive my read messages
1399,please send a notification when john replies,email_query,False,delight send a notification when lavatory reply
1396,is there anything new in my email folder,email_query,False,is there anything fresh in my e-mail folder
1403,open inbox,email_query,False,open inbox
1384,how many emails do i have from work today,email_query,False,how many e-mail do i have from work today
1405,check my email messages,email_query,False,check my e-mail messages
1389,have i gotten any new emails,email_query,False,have i acquire any new emails
1402,check if there any new email,email_query,False,bank_check if there any new email
1407,do i have any new entries in my inbox,email_query,False,do i have any new introduction in my inbox
1387,how many new emails since i last checked,email_query,False,how many fresh e-mail since i last checked
1435,create new contact,email_addcontact,False,create new contact
1423,add this person's email,email_addcontact,False,add this person's email
1430,store my contacts,email_addcontact,False,store my contact
1432,open up contacts and add email something@gmail dot com,email_addcontact,False,clear up contact and add e-mail something@gmail dot com
1414,add email to existing contact,email_addcontact,False,ADD email to existing contact
1438,please add to my contact lists and send them a reminder email,email_addcontact,False,delight add to my contact listing and direct them a reminder email
1425,add the email oriam@gmail dot com to my contacts,email_addcontact,False,add the e-mail oriam@gmail dot com to my contacts
1413,add this email to my contact,email_addcontact,False,add this e-mail to my contact
1436,add new email address,email_addcontact,False,add fresh email computer_address
1427,please add smithjoe@email dot com to the contact information for joe smith,email_addcontact,False,delight ADD smithjoe@email dot com to the contact info for joe smith
1453,is the road clear in florida,transport_traffic,False,is the route clear in florida
1467,few traffic roads,transport_traffic,False,few traffic roads
1444,what is level of traffic at washington,transport_traffic,False,what is level of traffic at washington
1441,what is the traffic now,transport_traffic,False,what is the traffic now
1451,in jaipur traffic level is high,transport_traffic,False,in jaipur traffic level is high
1468,what is the latest traffic report for miami,transport_traffic,False,what is the up-to-the-minute traffic report for miami
1457,what is traffic,transport_traffic,False,what is traffic
1443,please check the traffic to the home,transport_traffic,False,delight check the traffic to the home
1463,is there any traffic on my way to work,transport_traffic,False,is there any traffic on my way to work
1442,just let me know about current traffic in carmen drive,transport_traffic,False,just Lashkar-e-Toiba me know about electric_current traffic in carmen drive
1486,hips dont lie thats the song i would like you to play for me,play_music,False,pelvis dont lie thats the vocal i would like you to drama for me
1475,play one more time,play_music,False,play one more clip
1487,let's play workout playlist,play_music,False,let's drama exercising playlist
1490,i want to listen jazz,play_music,False,i want to listen jazz
1470,i want to hear chopin now,play_music,False,i want to hear chopin now
1493,make my collection mostly pop with a good bit of psychedelia,play_music,False,make my aggregation mostly dada with a good bit of psychedelia
1498,play from favorites song,play_music,False,play from favourite song
1480,please play the song games by disturbed,play_music,False,please drama the song game by upset
1499,play the song for me,play_music,False,drama the song for me
1477,play me all jazz music,play_music,False,drama me all jazz music
1516,please remove the alarm set for wednesday called kickball,alarm_remove,False,please remove the dismay set for Midweek call kickball
1503,remove alarm if any,alarm_remove,False,remove dismay if any
1529,remove number three alarm of list,alarm_remove,False,remove figure three alarm of listing
1513,can you please remove the alarm,alarm_remove,False,can you please remove the dismay
1518,cancel my seven am alarm,alarm_remove,False,cancel my 7 am alarm
1501,cancel my eight am alarm,alarm_remove,False,cancel my 8 am alarm
1526,cancel alarm for tenth of march two thousand seventeen,alarm_remove,False,cancel alarm for tenth of march 2 one_thousand 17
1500,please remove the the alarm which i set,alarm_remove,False,please remove the the alarm which i set
1511,please remove the alarm that is set for weekdays at nine,alarm_remove,False,please remove the dismay that is set for weekdays at nine
1505,remove tuesday alarm of nine am,alarm_remove,False,remove tuesday alarm of 9 am
1533,please turn on repeat all,music_settings,False,please crook on repeat all
1541,repeat song number ten from main list,music_settings,False,repetition vocal number ten from briny list
1542,repeat jazz,music_settings,False,repeat malarkey
1551,repeat song,music_settings,False,repetition song
1546,put the current song on repeat,music_settings,False,put the current song on repetition
1558,repeat music,music_settings,False,repetition music
1548,enable shuffle,music_settings,False,enable shuffle
1534,please put this playlist on shuffle,music_settings,False,please put this play_list on shuffling
1536,stop repeating this song,music_settings,False,stop repeating this song
1535,play only particular singer songs,music_settings,False,drama only particular vocalist songs
1581,which stock markets have lowered in the past three hours,qa_stock,False,which stock markets have take_down in the past 3 hours
1566,what is the price for marvel,qa_stock,False,what is the price for marvel
1576,what are i. b. m.'s stock prices,qa_stock,False,what are i. b. m.'s stock prices
1584,were the stocks rising or declining,qa_stock,False,were the stocks rising or decline
1570,tell me about the stock for shell,qa_stock,False,William_Tell me about the stock for shell
1563,what is the difference between yesterday's and today's stock prices for walmart,qa_stock,False,what is the difference between yesterday's and today's stock price for walmart
1562,turn on notification for all news on the stock market,qa_stock,False,crook on notification for all intelligence on the stock market
1561,tell me which mutual funds have maximum yearly returns,qa_stock,False,tell me which mutual finances have maximum yearly income_tax_return
1569,will it be good to buy nike stock today,qa_stock,False,will it be good to buy nike stock today
1575,how much is starbuck's stock these days,qa_stock,False,how much is starbuck's stock these days
1617,turn the lights off now,iot_hue_lightoff,False,crook the lights off now
1599,control lights turn off room lights,iot_hue_lightoff,False,control visible_light crook off room visible_light
1594,turn off overhead light,iot_hue_lightoff,False,crook off overhead light
1596,bed room two lights off,iot_hue_lightoff,False,bed room 2 lights off
1593,turn off garage light,iot_hue_lightoff,False,turn off garage visible_light
1606,turn off my room lights,iot_hue_lightoff,False,turn off my room visible_light
1603,by switch off,iot_hue_lightoff,False,by switch off
1592,make the lights off,iot_hue_lightoff,False,make the visible_light off
1614,turn all lights off during the day,iot_hue_lightoff,False,turn all lights off during the twenty-four_hours
1597,turn off the lights in the living room,iot_hue_lightoff,False,crook off the lights in the living room
1639,"that's good one, olly.",general_praise,False,"that's good one, olly."
1644,thanks for the answer.,general_praise,False,thanks for the answer.
1623,"it's helpful, thank you.",general_praise,False,"it's helpful, thank you."
1649,that's good one.,general_praise,False,that's good one.
1629,"thanks, that's fantastic job, olly.",general_praise,False,"thanks, that's fantastic job, olly."
1643,"that's cool,.",general_praise,False,"that's cool,."
1642,"it's helpful, thank you very much.",general_praise,False,"it's helpful, give_thanks you very much."
1624,you have done that correctly thanks.,general_praise,False,you have done that right thanks.
1636,"you are star, musch appreciated, olly.",general_praise,False,"you are star, musch appreciated, olly."
1632,"you are helpful, musch appreciated.",general_praise,False,"you are helpful, musch appreciated."
1679,i'd like you check details please.,general_confirm,False,i'd the_like you check inside_information please.
1676,confirm detail please.,general_confirm,False,confirm detail please.
1664,i'd like you check what i last said please.,general_confirm,False,i'd like you bank_check what i last say please.
1666,please will you check and confirm it.,general_confirm,False,delight will you bank_check and confirm it.
1657,check and confirm last thing said please.,general_confirm,False,bank_check and corroborate finale thing said please.
1665,i would like you confirm last thing i said please.,general_confirm,False,i would like you confirm finale thing i say please.
1678,would you check the details please.,general_confirm,False,would you bank_check the details please.
1654,please check my last question.,general_confirm,False,please check my finale question.
1660,will you please check and confirm it.,general_confirm,False,will you delight check and confirm it.
1661,please would you confirm detail.,general_confirm,False,please would you confirm detail.
1700,tell me the exchange rate of rupee for dollar,qa_currency,False,William_Tell me the exchange rate of rupee for dollar
1708,what's the pound to dollar exchange rate,qa_currency,False,what's the pound to dollar exchange rate
1701,how many dollars are in a euro,qa_currency,False,how many dollar are in a euro
1689,what is the current exchange rate of euro to dollar,qa_currency,False,what is the current exchange rate of euro to dollar
1702,what is the exchange of euro to dollars,qa_currency,False,what is the exchange of euro to dollars
1681,how much is one u. s. d. in inr,qa_currency,False,how much is 1 u. s. d. in INR
1694,how much is five dollars worth in euros,qa_currency,False,how much is 5 dollars worth in euros
1707,how much yens per u. s. d. today,qa_currency,False,how much yens per u. s. d. today
1688,what is the exchange rate between us dollars and bitcoin,qa_currency,False,what is the exchange rate between United_States_of_America dollar and bitcoin
1680,give me the exchange rate between united states dollar and japanese yen,qa_currency,False,give me the exchange rate between unify province dollar and Nipponese yen
1717,please speak up,audio_volume_up,False,please speak up
1737,increase the volume to fifty,audio_volume_up,False,increase the volume to 50
1713,could you speak more softly,audio_volume_up,False,could you speak more softly
1739,move the volume up a little,audio_volume_up,False,move the volume up a small
1722,increase the volume of the music to ninety,audio_volume_up,False,increase the bulk of the music to ninety
1710,can you speak a little louder,audio_volume_up,False,can you speak a little brassy
1731,turn the volume up,audio_volume_up,False,crook the volume up
1728,get louder,audio_volume_up,False,get louder
1726,unmute the speaker now,audio_volume_up,False,unmute the talker now
1729,increase the volume of the speaker,audio_volume_up,False,increase the volume of the speaker
1760,what's one plus one,qa_maths,False,what's one plus 1
1756,what is the result of two by two,qa_maths,False,what is the result of 2 by two
1759,what is two plus four,qa_maths,False,what is 2 plus four
1755,what is zero divided by zero,qa_maths,False,what is nil divided by zero
1754,convert ten miles to kilometers,qa_maths,False,convert ten statute_mile to kilometers
1769,answer the equation eight times seven,qa_maths,False,reply the equation 8 times 7
1761,do you know how to answer this math question,qa_maths,False,do you know how to reply this math question
1762,tell me the answer for two plus two,qa_maths,False,William_Tell me the answer for 2 plus two
1757,please solve this math,qa_maths,False,please solve this math
1763,how much money will i make for the week if i make dollars per hour and work twenty hours,qa_maths,False,how much money will i make for the week if i make dollars per hr and work 20 hours
1771,what's the latest news on donald trump,news_query,False,what's the up-to-the-minute intelligence on donald trump
1792,what is happening with brexit today,news_query,False,what is happening with brexit today
1778,economic affairs,news_query,False,economical affairs
1786,read me the front page of the new york times,news_query,False,read me the front_end page of the new House_of_York multiplication
1789,cnn world news,news_query,False,cnn existence news
1770,what is the news today in polk county florida,news_query,False,what is the news today in James_Polk county Sunshine_State
1782,notification regarding the new iphone release update,news_query,False,notification consider the new iphone liberation update
1787,give me the headline news,news_query,False,spring me the headline news
1784,what went on in the world today,news_query,False,what went on in the world today
1798,what is the latest on donald trump,news_query,False,what is the latest on donald trump
1804,brighten the lights on the front porch,iot_hue_lightup,False,brighten the visible_light on the front porch
1829,up the brightness on these lights,iot_hue_lightup,False,up the brightness on these visible_light
1813,increase the light,iot_hue_lightup,False,increase the visible_light
1810,lights up,iot_hue_lightup,False,lights up
1812,raise lights to full power,iot_hue_lightup,False,rise lights to full powerfulness
1801,brighten of lights in living room,iot_hue_lightup,False,brighten of visible_light in living room
1824,turn the chandelier all the way up,iot_hue_lightup,False,turn the chandelier all the mode up
1808,can you make the room brighter,iot_hue_lightup,False,can you make the room brighter
1823,brighten lights in living room,iot_hue_lightup,False,lighten_up lights in living room
1822,brighten the lights in this room,iot_hue_lightup,False,lighten_up the lights in this room
1841,turn down volume twenty percent,audio_volume_down,False,crook down volume 20 percent
1844,please change the volume low of the speakers,audio_volume_down,False,please change the bulk depression of the talker
1857,lower speaker volume,audio_volume_down,False,lower talker volume
1837,decrease volume,audio_volume_down,False,decrease bulk
1839,turn the volume down,audio_volume_down,False,turn the bulk down
1840,turn the music lower,audio_volume_down,False,turn the music lower
1834,lower audio,audio_volume_down,False,lower audio
1832,turn down media volume,audio_volume_down,False,turn down medium volume
1851,please adjust the speakers to a lower more comfortable level,audio_volume_down,False,please adjust the speakers to a lower more comfy grade
1835,please reduce the speaker volume,audio_volume_down,False,delight reduce the talker volume
1862,activate robot vacuum,iot_cleaning,False,activate robot vacuum
1865,please activate my vacuum cleaner,iot_cleaning,False,please actuate my vacuity cleaner
1886,hoover the carpets around,iot_cleaning,False,hoover the carpet around
1883,vacuum the living room in ten minutes,iot_cleaning,False,vacuity the living room in ten minutes
1875,turn on the vacuum cleaner while i am gone,iot_cleaning,False,crook on the vacuity cleaner while i am gone
1880,can you put the vacuum on,iot_cleaning,False,can you put the vacuum on
1884,let's suck out the dust,iot_cleaning,False,let's suck out the dust
1871,i want to turn on the robot vacuum cleaner,iot_cleaning,False,i want to crook on the robot vacuum cleanser
1863,start cleaning floors,iot_cleaning,False,start cleansing floors
1887,hey go from off to on my vacuum in five minutes,iot_cleaning,False,hey go from off to on my vacuum in 5 proceedings
1907,and the light began,iot_hue_lighton,False,and the light begin
1897,please turn on my balcony lights,iot_hue_lighton,False,please turn on my balcony visible_light
1896,overhead lights on please,iot_hue_lighton,False,overhead lights on delight
1913,turn corner light on,iot_hue_lighton,False,crook corner light on
1904,turn on all upstairs lights,iot_hue_lighton,False,turn on all upstairs visible_light
1915,and the darkness has fallen,iot_hue_lighton,False,and the darkness has fallen
1903,switch on all the lights,iot_hue_lighton,False,switch on all the visible_light
1917,hey turn on disco lights in my apartment and let the party begin,iot_hue_lighton,False,hey turn on disco lights in my flat and Lashkar-e-Toiba the political_party begin
1899,please turn on the lights in my house,iot_hue_lighton,False,please turn on the visible_light in my firm
1906,it's awfully dark here,iot_hue_lighton,False,it's awfully darkness here
